Why was the baby strawberry crying? Because its parents were in a jam. Poor little thing, it was worried about them.,not good
Why did the chicken cross the playground? To get to the other slide. It wanted to have some fun!,not good
What do you call a snowman with a six – pack? An abdominal snowman. He’s the fittest snowman around!,great
Why don’t seagulls fly over the bay? Because then they’d be bagels. That would be a strange transformation!,really bad
Why did the coffee file a police report? It got mugged. That’s a tough break for the poor coffee,the worst
What do you call a fake stone in Ireland? A sham – rock. It’s a sneaky little rock!,JUST STOP
Why did the belt go to jail? For holding up pants. It was a fashion – related crime.,STOP!!
What’s a foot long and slippery? A slipper. It’s a dangerous little footwear!,Dont entertain!
Why can’t a nose be 18 inches long? Because then it would be a yard. That’s a huge nose!,.....
What do you call a boomerang that doesn’t come back? A stick. It’s just a regular old stick now.,this is left
Why was the math book unhappy? Because it had too many problems. And it couldn’t find the answers on its own.,F+
What’s the best day to go to the beach? Sunday, of course, because it’s a sand – day. It’s the perfect day for some sun and sand.,B-
Why did the golfer wear two pairs of pants? In case he got a hole in one. You never know what might happen on the green!,D
What do you call a cow with no legs? Ground beef. It’s a meaty transformation!,that was a little funny
Why don’t oysters share their pearls? Because they’re shellfish. They’re just too selfish with their treasures., that was dumb
Why did the scarecrow win an award? Because he was outstanding in his field. He really was the best in his area.,okay
What did the .... ummm ...ummmmmm ....ummmm,.....stop
What did the .... ummm ...ummmmmm ....ummmm,......stop
What did the ????...,STOPPPPPP!
knock knock.......,Who's there ?
